,Trung bình,Độ lệch chuẩn,Thấp nhất,Tứ phân vị 1 (Q1),Trung vị (Q2),Tứ phân vị 3 (Q3),Cao nhất,Phương sai
GIÁ MỞ CỬA,68190.56181,5260.294928923822,56214.81,64018.1575,67571.0,72110.895,86174.49,27670702.739261683
GIÁ CAO NHẤT,68783.35618,5284.926873729691,57423.73,64495.34,68099.145,72710.85,86174.49,27930452.06067028
GIÁ THẤP NHẤT,67603.14425,5192.60565294356,55696.7,63611.645000000004,67037.375,71477.97750000001,84277.83,26963153.466981415
GIÁ ĐÓNG CỬA,68111.66533,5246.747654073866,55696.7,63992.72,67571.0,72051.66,84690.15,27528360.94552962
THAY ĐỔI GIÁ,-14.990859232175502,811.2951195333079,-2500.0,-500.0,-100.0,400.0,3900.0,658199.7709785644
% THAY ĐỔI,1.8281535648994483e-05,0.011883116442336621,-0.03,-0.01,0.0,0.01,0.06,0.00014120845638213096
KHỐI LƯỢNG,3131697.223,1819471.4279928023,691300.0,1932900.0,2702950.0,3882825.0,21564900.0,3310476277282.167
